label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,J_fullscan_scanevent2,H_fullscan_scanevent2,L_fullscan_scanevent2,N_fullscan_scanevent2,I_fullscan_scanevent2,G_fullscan_scanevent2,E_fullscan_scanevent2,F_fullscan_scanevent2,J2_fullscan_scanevent2,K_fullscan_scanevent2,C_fullscan_scanevent2,A_fullscan_scanevent2,B_fullscan_scanevent2,D_fullscan_scanevent2
,661,662,0,873.774475,11.731,0.499651,,C13-label-1,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.094,1.117638,872.771301,51641312.00,71518688.00,80250568.00,101606464.00,74288584.00,NA,56335924.00,78764032.00,92323200.00,103653720.00,NA,102931240.00,105925464.00,114052168.00
,661,663,0,886.816956,11.663,0.066269,,C13-label-14,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.162,0.206475,872.771301,180048.95,421099.50,0.00,56946.52,0.00,NA,0.00,0.00,0.00,0.00,NA,92932.71,200251.67,138108.00
,661,664,0,887.820618,11.681,0.188861,,C13-label-15,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.144,0.137494,872.771301,490476.38,665121.94,304131.25,264637.22,414373.88,NA,274634.72,1095662.75,563290.69,861710.75,NA,1000055.69,1499301.00,1115977.38
,661,665,0,888.824158,11.662,0.456918,,C13-label-16,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.163,0.343348,872.771301,401229.91,768682.50,63384.67,243482.12,141473.78,NA,277191.62,597186.75,400907.25,765533.31,NA,694898.50,535300.25,776537.31
,661,666,0,874.777832,11.771,0.247172,,C13-label-2,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.054,1.116356,872.771301,16426727.00,23089568.00,26004074.00,33380928.00,22259792.00,NA,15842912.00,16931418.00,29039200.00,33820500.00,NA,12686843.00,33151122.00,33717856.00
,661,667,0,894.845093,11.671,0.063854,,C13-label-22,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.154,1.295944,872.771301,83386.85,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00,0.00,NA,0.00,123156.78,0.00
,661,668,0,898.857727,11.727,0.082287,,C13-label-26,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.098,0.407418,872.771301,0.00,294828.62,77981.57,117565.12,263273.84,NA,50387.75,0.00,0.00,0.00,NA,93303.44,0.00,256826.14
,661,669,0,899.862061,11.759,0.078449,,C13-label-27,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.066,1.492201,872.771301,0.00,129822.91,0.00,0.00,137734.08,NA,0.00,0.00,0.00,0.00,NA,0.00,0.00,0.00
,661,670,0,875.781250,11.805,0.230244,,C13-label-3,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.019,1.184770,872.771301,4013649.00,2672399.25,3599345.00,8007363.50,5944498.00,NA,2379252.00,5915733.50,5885332.50,5990360.00,NA,4438724.50,8604961.00,7616733.50
,661,671,0,876.784851,11.747,0.211286,,C13-label-4,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.078,1.461864,872.771301,678848.19,1690117.00,1574719.62,2420950.25,1580106.38,NA,512355.22,1162285.88,1239595.50,1805664.50,NA,1842985.62,2343311.50,2284186.00
,661,672,1,877.787903,11.749,0.592807,,C13-label-5,TG(16:0_16:0_20:4),TG(16:0_16:0_20:4),C55H101O6N,0.076,1.112528,872.771301,113519.05,336563.06,260707.27,677824.94,454932.84,NA,243324.30,492445.41,657782.88,563836.38,NA,240684.02,518251.78,544400.44
