isotopeLabel,compound,formula,M,H,L,N,I,G,E,F,J,K,C,A,B,D
C13-label-6,TG(16:0_17:1_18:1),C54H103O6N,251659.95,383310.91,0,325098.56,129955.71,NA,33037.98,631260.19,148592.08,203570.89,NA,83953.54,570944.62,176699.81
C13-label-7,TG(16:0_17:1_18:1),C54H103O6N,41059.19,74401.9,17764.3,26298.31,0,NA,0,262340.41,0,92735.41,NA,0,199618.31,43109.48
C13-label-9,TG(16:0_17:1_18:1),C54H103O6N,0,0,0,0,0,NA,0,0,0,0,NA,0,0,46990.82
C12 PARENT,TG(16:0_18:0_18:0),C55H109O6N,33290906,41250440,31897566,38116640,36998620,NA,34383704,42566996,37694652,33298266,NA,42712480,35831260,44706864
C13-label-1,TG(16:0_18:0_18:0),C55H109O6N,20796448,25776006,18143024,23215282,23343670,NA,23688568,25424506,23090742,19496730,NA,27011630,21415000,27289432
C13-label-2,TG(16:0_18:0_18:0),C55H109O6N,6084815.5,7482543.5,5827360,7210672,7285802.5,NA,6658605.5,8184476.5,7115926.5,6535143.5,NA,7994998.5,7450778.5,8634559
C13-label-26,TG(16:0_18:0_18:0),C55H109O6N,0,51864.58,0,66711.11,0,NA,0,40987.14,0,0,NA,22119.1,0,13687.22
C13-label-3,TG(16:0_18:0_18:0),C55H109O6N,1028513.81,1324801.88,1045994.56,1835141,1464073.38,NA,1513694,1569290.62,1360283.62,1381960.12,NA,1838360.12,1579753.12,1982591.12
C13-label-31,TG(16:0_18:0_18:0),C55H109O6N,0,0,0,0,0,NA,0,0,0,16577.21,NA,0,0,0
C13-label-4,TG(16:0_18:0_18:0),C55H109O6N,210694.45,213210.55,145054.56,554851.62,402792.09,NA,233802.42,480942.97,237995.5,88636.91,NA,397066.34,369428.5,416265.59
C13-label-52,TG(16:0_18:0_18:0),C55H109O6N,0,0,0,0,0,NA,0,9592.93,10514.03,0,NA,0,0,0
C12 PARENT,TG(16:0_18:0_18:1) (1),C55H107O6N,402774048,579369152,303174240,498855040,375291360,NA,250290576,592172544,326979296,384569472,NA,395149216,434190240,402954720
C13-label-1,TG(16:0_18:0_18:1) (1),C55H107O6N,248803392,360595104,188004912,311005856,234790320,NA,156486064,361252832,208122496,246096080,NA,249824640,278753760,258812336
C13-label-10,TG(16:0_18:0_18:1) (1),C55H107O6N,0,0,0,78717,0,NA,0,0,0,0,NA,0,0,0
C13-label-16,TG(16:0_18:0_18:1) (1),C55H107O6N,0,0,0,69638.35,0,NA,0,93484.66,0,50808.48,NA,0,0,74355.51
C13-label-18,TG(16:0_18:0_18:1) (1),C55H107O6N,0,0,0,0,0,NA,0,14502.72,168743.64,41165.73,NA,140085.38,300243.94,233786.08
C13-label-19,TG(16:0_18:0_18:1) (1),C55H107O6N,0,0,55168.14,79960.46,0,NA,0,0,78381.09,36852.53,NA,98229.79,178545.95,0
C13-label-2,TG(16:0_18:0_18:1) (1),C55H107O6N,85497912,114256136,60267044,121456096,79516936,NA,50501916,134649648,73720672,96915456,NA,99606048,111935480,101203160
C13-label-26,TG(16:0_18:0_18:1) (1),C55H107O6N,80580.33,163056.94,47629.58,81603.23,63292.64,NA,30403.58,242900.36,49537.11,146679.89,NA,79698.91,43888.3,131655.55
C13-label-27,TG(16:0_18:0_18:1) (1),C55H107O6N,30473.39,115672.55,48362.89,26951.64,0,NA,23496.45,97930.29,36249.85,89719.66,NA,0,0,0
C13-label-3,TG(16:0_18:0_18:1) (1),C55H107O6N,18336958,26041450,14689091,30064256,18776426,NA,11237133,35636672,18139512,25490798,NA,25729266,32382086,26919104
C13-label-4,TG(16:0_18:0_18:1) (1),C55H107O6N,3508236.25,6058727.5,4048925.25,11337307,5738375.5,NA,2594964.25,10402964,4359164,7610760,NA,7954500,10663221,7823042
C13-label-5,TG(16:0_18:0_18:1) (1),C55H107O6N,911568.06,1419696.5,1202360.62,2965698,1851416.12,NA,594471.25,2248744.25,1068927.25,2088535.38,NA,2077365.38,3503204.75,2247311.75
C13-label-6,TG(16:0_18:0_18:1) (1),C55H107O6N,293829.91,394262.66,287892.78,1052682.88,599625.06,NA,155444.06,891169.44,309026.16,886117.69,NA,843098.94,1682346.38,764218.69
C13-label-7,TG(16:0_18:0_18:1) (1),C55H107O6N,63371.19,86560.08,58234.31,493638.03,81499.48,NA,77838.79,304266.72,197335.95,301417.38,NA,354097.59,619635.19,223444.3
C13-label-8,TG(16:0_18:0_18:1) (1),C55H107O6N,0,0,0,87023.75,53176.57,NA,0,0,60652.71,96688.91,NA,97789.43,195029.39,123865.52
C13-label-9,TG(16:0_18:0_18:1) (1),C55H107O6N,0,0,0,57775.05,0,NA,0,0,0,0,NA,84432.43,60174.17,44179.71
C12 PARENT,TG(16:0_18:0_20:0),C57H113O6N,22009670,26611766,22728330,24349778,25203958,NA,23189134,25935654,23315984,23445574,NA,23791552,23038008,25971822
C13-label-1,TG(16:0_18:0_20:0),C57H113O6N,13734360,16300024,14512848,15815936,15842661,NA,14923397,16145353,14484687,14766871,NA,15078592,14832317,16571820
C13-label-19,TG(16:0_18:0_20:0),C57H113O6N,0,0,0,0,0,NA,6035.59,10416.32,0,0,NA,0,0,0
C13-label-2,TG(16:0_18:0_20:0),C57H113O6N,4303956.5,5144110,4616254.5,5041145.5,5227686,NA,4697868,5224199,4602048,4722138,NA,4942548,4629490,5191630
C13-label-20,TG(16:0_18:0_20:0),C57H113O6N,0,5695.71,0,0,0,NA,0,0,0,0,NA,0,0,6460.22
C13-label-22,TG(16:0_18:0_20:0),C57H113O6N,0,0,3442.12,0,0,NA,0,0,0,0,NA,0,0,0
C13-label-23,TG(16:0_18:0_20:0),C57H113O6N,0,0,0,6570.5,6766.26,NA,0,0,0,0,NA,0,0,0
C13-label-26,TG(16:0_18:0_20:0),C57H113O6N,0,0,0,8461.76,0,NA,0,0,0,0,NA,0,0,0
